Conformation	RMSD global	Domaine A1	Domaine A2	Domaine A3	Domaine A4	Domaine B
     10 		0.6647 		0.7004 		0.6376 		0.6764 		0.6614 		 
     20 		0.708 		0.7432 		0.679 		0.9018 		0.6152 		 
     30 		0.7216 		0.6971 		0.6151 		1.0845 		0.6974 		 
     40 		0.8429 		0.9331 		0.7411 		1.0684 		0.7762 		 
     50 		0.8937 		0.9459 		0.8648 		1.0123 		0.8262 		 
     60 		0.9037 		0.9618 		0.8233 		1.0943 		0.8653 		 
     70 		0.9185 		0.9114 		0.7916 		1.1904 		0.9632 		 
     80 		0.9435 		0.9387 		0.8443 		1.2328 		0.9436 		 
     90 		0.9618 		0.9746 		0.8525 		1.2372 		0.9654 		 
     100 		1.0731 		0.9929 		0.931 		1.2966 		1.2254 		 
     110 		1.1048 		0.9275 		1.0168 		1.3902 		1.2446 		 
     120 		1.113 		0.947 		1.0263 		1.0013 		1.3926 		 
     130 		0.9997 		0.8733 		0.9402 		0.7889 		1.2468 		 
     140 		1.0629 		1.0085 		1.0365 		0.9869 		1.1768 		 
     150 		1.2066 		1.0383 		1.1509 		1.1644 		1.4349 		 
     160 		1.3006 		1.0037 		1.1133 		1.2405 		1.754 		 
     170 		1.3535 		1.123 		1.2586 		1.4716 		1.6162 		 
     180 		1.2559 		1.014 		1.1792 		1.559 		1.4262 		 
     190 		1.3586 		1.0406 		1.2245 		1.8803 		1.5476 		 
     200 		1.4346 		1.0659 		1.2969 		2.0633 		1.6116 		 
     210 		1.4104 		0.9859 		1.2395 		2.0704 		1.6405 		 
     220 		1.479 		1.0286 		1.2947 		1.7951 		1.8992 		 
     230 		1.3604 		0.9831 		1.2498 		1.9652 		1.5185 		 
     240 		1.3473 		1.0042 		1.1664 		2.1548 		1.4461 		 
     250 		1.2192 		0.9681 		1.0296 		1.5213 		1.515 		 
     260 		1.3556 		1.0343 		1.0877 		1.9966 		1.6248 		 
     270 		1.361 		0.9414 		1.0646 		2.0771 		1.6775 		 
     280 		1.4604 		1.0624 		1.113 		1.9324 		1.9331 		 
     290 		1.3747 		1.0584 		1.0107 		1.9946 		1.7389 		 
     300 		1.4339 		1.0845 		1.0509 		2.3179 		1.7055 		 
     310 		1.5255 		1.1094 		1.1601 		2.1981 		1.9424 		 
     320 		1.5008 		1.0913 		1.2215 		2.1693 		1.8359 		 
